"","Date","USA_Life_EXP","Chinese_Life_EXP","Japanese_Life_EXP","German_Life_EXP","French_Life_EXP","Brazil_Life_EXP","UK_Life_EXP","Italy_Life_EXP","Russia_Life_EXP","India_Life_EXP"
"1",2012-12-31,78.741463414634,75.199512195122,83.096097560976,80.892682926829,81.968292682927,73.61787804878,80.904878048781,82.936585365854,70.365853658537,66.210853658537
"2",2011-12-31,78.641463414634,75.042,82.591219512195,80.741463414634,82.114634146342,73.347365853659,80.951219512195,82.636585365854,69.658536585366,65.958487804878
"3",2010-12-31,78.541463414634,74.885024390244,82.842682926829,79.987804878049,81.663414634146,73.075317073171,80.40243902439,82.336585365854,68.856097560976,65.694243902439
"4",2009-12-31,78.090243902439,74.731634146342,82.931463414634,79.836585365854,81.414634146341,72.804170731707,80.051219512195,81.936585365854,68.604878048781,65.413195121951
"5",2008-12-31,77.939024390244,74.579829268293,82.58756097561,79.736585365854,81.214634146341,72.53387804878,79.6,81.734146341463,67.848780487805,65.113390243903
"6",2007-12-31,77.839024390244,74.424073170732,82.507073170732,79.534146341463,81.112195121951,72.262902439024,79.448780487805,81.382926829268,67.49756097561,64.793853658537
"7",2006-12-31,77.587804878049,74.256317073171,82.321951219512,79.131707317073,80.812195121951,71.991780487805,79.248780487805,81.280487804878,66.643170731707,64.455097560976
"8",2005-12-31,77.339024390244,74.053902439024,81.925121951219,78.931707317073,80.163414634146,71.718536585366,79.048780487805,80.731707317073,65.47,64.097585365854
"9",2004-12-31,77.339024390244,73.793707317073,82.030243902439,78.680487804878,80.163414634146,71.441780487805,78.746341463415,80.778048780488,65.421219512195,63.724268292683
"10",2003-12-31,76.987804878049,73.465097560976,81.76,78.380487804878,79.114634146342,71.159609756098,78.446341463415,79.880487804878,65.00756097561,63.340048780488
"11",2002-12-31,76.836585365854,73.069609756098,81.563414634146,78.229268292683,79.260975609756,70.86956097561,78.143902439024,80.229268292683,65.085365853659,62.949341463415
"12",2001-12-31,76.736585365854,72.619780487805,81.417073170732,78.329268292683,79.158536585366,70.569658536585,77.992682926829,80.026829268293,65.487804878049,62.556634146342
"13",2000-12-31,76.636585365854,72.140731707317,81.076097560976,77.926829268293,79.056097560976,70.257390243902,77.741463414634,79.778048780488,65.341463414634,62.161853658537
"14",1999-12-31,76.582926829268,71.668707317073,80.570731707317,77.726829268293,78.756097560976,69.929682926829,77.390243902439,79.424390243902,66.043658536585,61.765463414634
"15",1998-12-31,76.580487804878,71.234878048781,80.501463414634,77.475609756098,78.604878048781,69.587463414634,77.190243902439,78.975609756098,66.783902439024,61.367
"16",1997-12-31,76.429268292683,70.863902439024,80.424146341463,77.073170731707,78.30487804878,69.231219512195,77.210975609756,78.824390243902,66.950731707317,60.968512195122
"17",1996-12-31,75.996585365854,70.562829268293,80.200243902439,76.673170731707,77.953658536585,68.861951219512,77.087804878049,78.521951219512,66.194146341463,60.574
"18",1995-12-31,75.621951219512,70.329170731707,79.536341463415,76.421951219512,77.751219512195,68.482731707317,76.836585365854,78.170731707317,65.221219512195,60.18856097561
"19",1994-12-31,75.574390243902,70.147829268293,79.687073170732,76.270731707317,77.648780487805,68.094658536585,76.885365853658,77.921951219512,64.467073170732,59.818804878049
"20",1993-12-31,75.419512195122,69.990658536585,79.293658536585,75.870731707317,77.3,67.700804878049,76.385365853658,77.721951219512,64.935853658537,59.467780487805
"21",1992-12-31,75.642195121951,69.832,79.153902439024,75.819512195122,77.1,67.305731707317,76.434146341463,77.419512195122,66.873170731707,59.136975609756
"22",1991-12-31,75.365853658537,69.661317073171,79.100731707317,75.319512195122,76.848780487805,66.909975609756,76.082926829268,77.019512195122,68.474390243902,58.824829268293
"23",1990-12-31,75.214634146341,69.47156097561,78.836829268293,75.177365853659,76.6,66.515,75.880487804878,76.980243902439,68.90243902439,58.529195121951
"24",1989-12-31,75.017073170732,69.262243902439,78.818048780488,74.982682926829,76.348780487805,66.119219512195,75.582926829268,76.84,69.171707317073,58.246902439024
"25",1988-12-31,74.765853658537,69.042390243902,78.399268292683,74.778951219512,76.1,65.722073170732,75.380487804878,76.370731707317,69.464390243902,57.970804878049
"26",1987-12-31,74.765853658537,68.815536585366,78.483658536585,74.559609756098,75.8,65.323536585366,75.280487804878,76.219512195122,69.44,57.692292682927
"27",1986-12-31,74.614634146342,68.582170731707,78.064634146342,74.321634146341,75.6,64.926146341463,74.929268292683,75.770731707317,69.389756097561,57.405365853659
"28",1985-12-31,74.563414634146,68.341292682927,77.650487804878,74.064536585366,75.3,64.532536585366,74.629268292683,75.470731707317,67.856829268293,57.108024390244
"29",1984-12-31,74.563414634146,68.092902439024,77.365365853659,73.792853658537,75,64.147926829268,74.778048780488,75.389512195122,67.202682926829,56.800341463415
"30",1983-12-31,74.463414634146,67.836512195122,76.961463414634,73.512146341463,74.8,63.773926829268,74.378048780488,74.640243902439,67.652682926829,56.48
"31",1982-12-31,74.360975609756,67.572097560976,76.922926829268,73.230975609756,74.5,63.410487804878,74.178048780488,74.814634146342,67.806097560976,56.143146341463
"32",1981-12-31,74.007317073171,67.297658536585,76.414390243903,72.952390243902,74.3,63.056463414634,74.026829268293,74.353902439024,67.263902439024,55.780926829268
"33",1980-12-31,73.658536585366,67.023609756098,76.091707317073,72.677902439024,74.051219512195,62.706048780488,73.675609756098,73.943170731707,67.033902439024,55.378463414634
"34",1979-12-31,73.80487804878,66.762292682927,76.33756097561,72.408536585366,73.851219512195,62.353829268293,73.275609756098,74.002682926829,67.114390243902,54.919414634146
"35",1978-12-31,73.356097560976,66.513731707317,76.038292682927,72.142804878049,73.60243902439,61.992512195122,73.175609756098,73.693170731707,67.390975609756,54.398780487805
"36",1977-12-31,73.256097560976,66.264048780488,75.898292682927,71.883682926829,73.351219512195,61.620390243902,73.224390243902,73.364634146342,67.376341463415,53.815536585366
"37",1976-12-31,72.856097560976,65.99443902439,75.456829268293,71.634146341463,73.10243902439,61.23543902439,72.775609756098,72.991951219512,67.48756097561,53.173634146341
"38",1975-12-31,72.604878048781,65.699585365854,75.057317073171,71.401731707317,72.853658536585,60.839780487805,72.724390243902,72.647317073171,67.723902439024,52.483463414634
"39",1974-12-31,71.956097560976,65.379292682927,74.393902439024,71.195414634146,72.604878048781,60.438195121951,72.524390243902,72.734390243902,68.320243902439,51.760902439024
"40",1973-12-31,71.356097560976,65.003292682927,73.75756097561,71.016682926829,72.356097560976,60.035512195122,72.324390243902,72.026341463415,68.294634146341,51.024780487805
"41",1972-12-31,71.156097560976,64.521463414634,73.506585365854,70.867,72.107317073171,59.637536585366,72.124390243902,72.075365853659,68.308536585366,50.28843902439
"42",1971-12-31,71.107317073171,63.872243902439,72.882926829268,70.74287804878,71.907317073171,59.244365853659,72.273170731707,71.806829268293,68.376585365854,49.560341463415
"43",1970-12-31,70.807317073171,62.906243902439,71.950243902439,70.639780487805,71.658536585366,58.856975609756,71.973170731707,71.558780487805,68.133658536585,48.840414634146
"44",1969-12-31,70.507317073171,61.451170731707,71.838780487805,70.550682926829,71.458536585366,58.475292682927,71.721951219512,70.811951219512,67.86712195122,48.122170731707
"45",1968-12-31,69.951219512195,59.468853658537,71.611219512195,70.465097560976,71.309756097561,58.094609756098,71.724390243903,70.78,67.874341463415,47.396219512195
"46",1967-12-31,70.560975609756,57.012390243902,71.276585365854,70.373512195122,71.160975609756,57.711756097561,72.124390243902,70.956585365854,67.860146341463,46.656097560976
"47",1966-12-31,70.212195121951,54.204121951219,70.986585365854,70.270926829268,70.960975609756,57.323195121951,71.573170731707,70.926097560976,67.812512195122,45.902365853659
"48",1965-12-31,70.214634146341,51.29143902439,70.201951219512,70.151829268293,70.812195121951,56.923878048781,71.624390243902,70.171707317073,67.718853658537,45.138512195122
"49",1964-12-31,70.165853658537,48.58087804878,70.13243902439,70.013707317073,70.663414634146,56.510292682927,71.624390243902,70.311707317073,67.566512195122,44.371536585366
"50",1963-12-31,69.917073170732,46.331,69.658048780488,69.860097560976,70.514634146342,56.08,70.826829268293,69.248048780488,67.339902439024,43.607951219512
"51",1962-12-31,70.119512195122,44.712658536585,68.594878048781,69.692512195122,70.314634146342,55.633097560976,70.926829268293,69.149756097561,67.021414634146,42.853268292683
"52",1961-12-31,70.270731707317,43.780756097561,68.31,69.509951219512,70.117073170732,55.169634146342,70.878048780488,69.760243902439,66.597024390244,42.112
"53",1960-12-31,69.770731707317,43.465804878049,67.666097560976,69.312951219512,69.868292682927,54.692146341463,71.126829268293,69.123902439024,66.055292682927,41.383634146341
