"","X","Date","USA_Revenue","Brazilian_Revenue","Japanese_Revenue","German_Revenue","French_Revenue","Value","Uk_Revenue","Italian_Revenue","Russian_Revenue","Indian_Revenue","US_Unemployment_Percent","Chinese_Unemployment_Percent","Japanese_Unemployment_Percent","German_Unemployment_Percent","French_Unemployment_Percent","Brazil_Unemployment_Percent","UK_Unemployment_Percent","Italian_Unemployment_Percent","Russian_Unemployment_Percent","USA_Pop","Chinese_Pop","Japanese_Pop","German_Pop","French_Pop","Brazil_Pop","Uk_Pop","Italian_Pop","Russian_Pop","Indian_Pop"
"1",1,"2021-12-31",67238.336,21733.207,44574.027,55567.687,48356.09,17148.409,49816.113,41197.759,29517.939,9837.163,5.028,4.05,3.307,4.847,9.128,10,5.3,9.292,5.5,338.582,1416.136,123.917,83.392,66.723,213.441,67.781,62.168,146.3,1398.162
"2",10,"2012-12-31",51385.486,11111.596,35651.061,44179.103,39251.05,15488.045,37520.682,35508.649,25317.569,5003.373,8.075,4.09,4.325,5.367,9.758,5.483,7.975,10.675,5.5,314.393,1354.04,127.552,80.524,63.376,199.242,63.705,59.394,143.3,1243
"3",11,"2011-12-31",49725.504,10180.859,34331.663,43220.709,38657.22,15061.544,36654.344,35895.627,24067.77,4749.192,8.933,4.09,4.583,5.858,9.208,5.967,8.1,8.383,6.5,312.072,1347.35,127.831,80.328,63.07,197.397,63.285,59.365,143,1217.438
"4",12,"2010-12-31",48309.529,9156.881,33853.419,40117.587,37284.251,14339.548,35797.003,35071.105,22632.373,4445.174,9.608,4.14,5.058,6.942,9.25,6.75,7.9,8.342,7.3,309.761,1340.91,127.594,81.752,62.765,195.498,62.262,59.19,142.9,1195.063
"5",13,"2009-12-31",46909.422,8218.178,31950.943,38105.391,36297.357,13307.586,35093.412,34182.597,21410.554,4040.566,9.283,4.3,5.075,7.675,9.108,8.075,7.625,7.725,8.2,307.374,1334.5,127.551,81.802,62.466,193.544,61.792,59.001,142.8,1178
"6",14,"2008-12-31",48302.283,7505.528,33528.017,39949.197,37313.106,13362.885,36586.088,36105.389,23068.28,3747.544,5.8,4.2,3.983,7.408,7.433,7.892,5.725,6.733,6.2,304.718,1328.02,127.692,82.002,62.135,191.532,61.398,58.653,142.7,1162
"7",15,"2007-12-31",47954.532,6750.569,33212.172,38765.709,36724.648,12606.758,36294.067,36050.429,21481.307,3587.186,4.617,4,3.833,8.575,8,9.275,5.35,6.125,6,301.903,1321.29,127.757,82.218,61.795,189.463,60.986,58.224,142.8,1146
"8",16,"2006-12-31",46351.667,5787.795,31660.106,36482.128,35172.584,11708.513,34690.78,34701.046,19279.016,3227.357,4.608,4.1,4.117,10.042,8.817,9.983,5.425,6.808,7,298.93,1314.48,127.746,82.315,61.4,187.335,60.584,58.064,142.8,1130
"9",17,"2005-12-31",44218.306,5008.848,30203.572,34021.902,33571.061,11055.603,32973.922,33112.347,17245.915,2906.825,5.083,4.2,4.425,11,8.858,9.833,4.825,7.7,7.1,296.115,1307.56,127.752,82.438,60.963,185.151,60.235,57.875,143.2,1114
"10",18,"2004-12-31",41838.455,4385.797,28889.801,32649.668,32252.237,10505.77,31220.424,31987.843,15641.296,2615.847,5.542,4.2,4.733,10.333,8.858,11.483,4.75,7.983,7.7,293.389,1299.88,127.734,82.501,60.505,182.911,59.842,57.496,143.8,1097.438
"11",19,"2003-12-31",39591.865,3899.687,27489.685,31542.11,30743.205,9790.34,29791.503,30842.947,14154.247,2397.562,5.992,4.3,5.242,9.708,8.483,12.317,5,8.45,8.2,290.733,1292.27,127.634,82.532,60.102,180.619,59.552,57.131,144.3,1080.5
"12",2,"2020-12-31",65161.465,20189.719,43172.916,53804.853,47199.532,16576.379,48099.974,40160.97,28495.653,9060.174,4.995,4.05,3.307,4.9,9.316,10.043,5.3,9.692,5.5,335.682,1409.13,124.541,83.379,65.763,212.078,67.36,61.961,146.3,1380.007
"13",20,"2002-12-31",38113.892,3496.807,26554.313,31152.039,30105.513,9615.448,28376.971,30270.041,12871.483,2211.336,5.783,4,5.358,8.6,8.275,11.683,5.2,8.608,8,288.019,1284.53,127.4,82.537,59.686,178.276,59.319,56.988,145,1064.063
"14",21,"2001-12-31",37241.347,3177.108,26132.29,30711.896,29529.831,9314.418,27362.886,29752.447,12080.112,2128.126,4.742,3.6,5.042,7.8,8.458,11.265,5.1,9.1,8.939,285.216,1276.27,127.132,82.44,59.267,175.885,59.113,56.961,145.2,1048
"15",22,"2000-12-31",36432.514,2888.255,25519.918,29548.895,28514.844,9108.08,26135.495,28601.612,11154.256,2018.916,3.967,3.1,4.733,7.95,9.175,7.1,5.45,10.1,10.591,282.296,1267.43,126.831,82.26,58.858,173.448,58.886,56.924,146.3,1029.188
"16",23,"1999-12-31",34601.722,2624.987,24448.43,28029.959,27006.283,8768.578,24703.578,26971.725,9870.036,1934.244,4.217,3.1,4.667,8.558,10.442,7.6,5.975,10.942,13.001,279.195,1257.86,126.587,82.163,58.497,168.754,58.684,56.909,146.9,1010.188
"17",24,"1998-12-31",32929.038,2422.547,24173.513,27149.057,25810.013,8725.451,23681.044,26159.329,9103.551,1788.645,4.5,3.1,4.1,9.383,10.692,7.597,6.25,11.333,11.889,276.022,1247.61,126.349,82.037,58.299,166.252,58.475,56.904,147.5,992
"18",25,"1997-12-31",31553.622,2243.549,24468.259,26382.371,24733.754,8732.525,22724.247,25479.5,9495.082,1698.166,4.942,3.1,3.4,9.658,10.892,5.684,6.95,11.242,10.819,272.822,1236.26,126.011,82.057,58.116,163.78,58.314,56.876,147.8,973.438
"19",26,"1996-12-31",30047.314,2040.362,23735.015,25468.248,23835.85,8430.082,21726.053,24613.027,9177.014,1635.47,5.408,3,3.367,8.908,10.833,5.433,8.1,11.15,9.606,269.581,1223.89,125.711,82.012,57.936,161.323,58.164,56.844,148.3,955.063
"20",27,"1995-12-31",28762.676,1842.374,22766.46,24857.621,23161.487,8224.98,20831.995,23864.802,9349.847,1522.197,5.592,2.9,3.15,8.233,10.508,4.65,8.625,11.15,8.534,266.458,1211.21,125.436,81.817,57.753,158.875,58.025,56.844,148.3,937
"21",28,"1994-12-31",27755.764,1643.13,21932.38,23997.56,22297.308,7836.701,19960.548,22853.342,9537.54,1413.256,6.1,2.8,2.892,8.425,10.667,4.641,9.5,10.633,7.233,263.325,1198.5,125.116,81.539,57.565,156.431,57.862,56.842,148.5,919
"22",29,"1993-12-31",26441.648,1438.534,21350.572,22974.721,21405.119,7400.438,18836.696,21913.853,10704.543,1323.329,6.908,2.6,2.5,7.775,10.267,5.43,10.375,9.833,5.285,260.146,1185.17,124.77,81.338,57.369,153.986,57.714,56.821,148.4,901
"23",3,"2019-12-31",63147.859,18751.536,41815.397,52058.419,45635.057,16024.636,46444.559,39104.927,27502.445,8350.959,4.901,4.05,3.307,4.928,9.58,10.223,5.3,10.092,5.5,332.807,1402.16,125.088,83.363,65.461,210.659,66.928,61.757,146.3,1362.087
"24",30,"1992-12-31",25466.828,1247.804,20886.264,22764.504,21131.884,7017.437,17966.788,21614.838,11436.728,1260.722,7.492,2.3,2.15,6.592,9.442,5.8,9.95,8.808,4.768,256.777,1171.71,124.367,80.975,57.111,151.547,57.585,56.773,148.6,881.875
"25",4,"2018-12-31",61053.668,17404.894,40482.872,50355.748,44118.321,15495.59,44814.404,38010.741,26527.233,7691.709,4.821,4.05,3.307,4.929,9.915,10.396,5.1,10.492,5.75,329.956,1395.224,125.619,83.257,65.162,209.187,66.487,61.555,146.3,1344.401
"26",5,"2017-12-31",58952.025,16171.986,39378.941,48835.998,42799.5,15138.98,43267.778,36989.914,25740.366,7098.05,4.836,4.05,3.267,4.819,10.031,10.183,4.996,10.892,6.25,327.13,1388.322,126.105,83.007,64.865,207.661,66.03,61.353,146.3,1326.944
"27",6,"2016-12-31",57220.196,15095.207,38731.328,47535.625,41867.918,15048.629,42041.279,36191.133,25185.531,6598.97,4.851,4.05,3.267,4.583,10.141,9.185,4.996,11.392,6.5,324.328,1381.454,126.541,82.773,64.569,206.082,65.572,61.151,146.3,1309.713
"28",7,"2015-12-31",55805.204,14107.431,38054.203,46893.168,41180.697,15614.528,41158.909,35708.311,25410.917,6161.617,5.283,4.05,3.367,4.633,10.35,6.833,5.376,11.892,5.575,321.601,1374.62,126.926,81.9,64.275,204.451,65.097,60.796,146.3,1292.707
"29",8,"2014-12-31",54360.499,13130.869,37442.241,46160.189,40498.367,16211.569,40163.299,35094.996,26138.042,5758.316,6.167,4.09,3.583,5.008,10.292,4.842,6.2,12.642,5.2,319.13,1367.82,127.12,81.198,63.982,202.769,64.597,60.783,146.3,1275.921
"30",9,"2013-12-31",52615.337,12102.564,36787.007,44945.636,39949.863,16070.66,38723.664,35283.737,25986.826,5352.1,7.375,4.05,4.008,5.225,10.283,5.392,7.6,12.125,5.5,316.698,1360.72,127.333,80.767,63.698,201.033,64.087,59.685,143.7,1259.353
